rank,NrmzMeanConfPairMean,Refi,NrmzMeanConfEventMean,NrmzMeanConfDetailMean
1,0.6089269711282776,bpR,0.0,0.0
2,0.6121189661568164,bpR,0.0,0.0
3,0.6159971174010485,bpR,0.0,0.0
4,0.6155670224460591,bpR,0.0,0.0
5,0.6147321064600277,bpR,0.0,0.0
6,0.614080031521692,bpR,0.0,0.0
7,0.6194237491527442,bpR,0.0,0.0
8,0.6104681359195028,bpR,0.0,0.0
9,0.6141921606472535,bpR,0.0,0.0
10,0.6154780065455505,bpR,0.0,0.0
11,0.6109393907340996,bpR,0.0,0.0
12,0.605158957504241,bpR,0.0,0.0
13,0.6102158919604029,bpR,0.0,0.0
14,0.6034316600583217,bpR,0.0,0.0
15,0.6002655442770838,bpR,0.0,0.0
16,0.5965477809283378,bpR,0.0,0.0
17,0.5976844001338181,bpR,0.0,0.0
18,0.5927834599817653,bpR,0.0,0.0
19,0.5867096521261702,bpR,0.0,0.0
20,0.5990028678820597,bpR,0.0,0.0
21,0.5968281979697782,bpR,0.0,0.0
22,0.5861410250561431,bpR,0.0,0.0
23,0.591419655282303,bpR,0.0,0.0
24,0.5914111348936741,bpR,0.0,0.0
25,0.6105287633066198,bpR,0.0,0.0
26,0.6126407374795536,bpR,0.0,0.0
27,0.6152881895251828,bpR,0.0,0.0
28,0.6029554252068537,bpR,0.0,0.0
29,0.60185199800841,bpR,0.0,0.0
30,0.5967821341094343,bpR,0.0,0.0
31,0.6227983723461907,bpR,0.0,0.0
32,0.6160054477392058,bpR,0.0,0.0
33,0.6370898463523171,bpR,0.0,0.0
34,0.7255522040293406,bpR,0.0,0.0
35,0.925943121806863,bpR,0.0,0.0
36,0.925943121806863,bpR,0.0,0.0
37,0.925943121806863,bpR,0.0,0.0
38,0.925943121806863,bpR,0.0,0.0
1,0.6089269711282776,bpF,0.0,0.0
2,0.6121189661568164,bpF,0.0,0.0
3,0.6159971174010485,bpF,0.0,0.0
4,0.6155670224460591,bpF,0.0,0.0
5,0.6147321064600277,bpF,0.0,0.0
6,0.614080031521692,bpF,0.0,0.0
7,0.6194237491527442,bpF,0.0,0.0
8,0.6104681359195028,bpF,0.0,0.0
9,0.6141921606472535,bpF,0.0,0.0
10,0.6154780065455505,bpF,0.0,0.0
11,0.6109393907340996,bpF,0.0,0.0
12,0.605158957504241,bpF,0.0,0.0
13,0.6102158919604029,bpF,0.0,0.0
14,0.6034316600583217,bpF,0.0,0.0
15,0.6002655442770838,bpF,0.0,0.0
16,0.5965477809283378,bpF,0.0,0.0
17,0.5976844001338181,bpF,0.0,0.0
18,0.5927834599817653,bpF,0.0,0.0
19,0.5867096521261702,bpF,0.0,0.0
20,0.5990028678820597,bpF,0.0,0.0
21,0.5968281979697782,bpF,0.0,0.0
22,0.5861410250561431,bpF,0.0,0.0
23,0.591419655282303,bpF,0.0,0.0
24,0.5914111348936741,bpF,0.0,0.0
25,0.6105287633066198,bpF,0.0,0.0
26,0.6126407374795536,bpF,0.0,0.0
27,0.6152881895251828,bpF,0.0,0.0
28,0.6029554252068537,bpF,0.0,0.0
29,0.60185199800841,bpF,0.0,0.0
30,0.5967821341094343,bpF,0.0,0.0
31,0.6227983723461907,bpF,0.0,0.0
32,0.6160054477392058,bpF,0.0,0.0
33,0.6370898463523171,bpF,0.0,0.0
34,0.7255522040293406,bpF,0.0,0.0
35,0.925943121806863,bpF,0.0,0.0
36,0.925943121806863,bpF,0.0,0.0
