;participant;rank;NrmzMeanConfPair;NrmzMeanConfEvent;NrmzMeanConfDetail;Refi
2;1;4;0.874830045555698;0.0;0.874830045555698;beF
12;1;14;0.78077332019934;0.523502736011101;0.695016458803261;beF
14;1;16;0.81802350445288;0.380835915487359;0.544879787357439;beF
17;1;19;0.78077332019934;0.523502736011101;0.695016458803261;beF
21;1;3;0.54609710544913;0.726318293677165;0.596163743622459;beF
30;1;12;0.744919999308995;0.436013672576713;0.436013672576713;beF
34;1;2;0.748179392117208;0.702954735677656;0.592310224948066;beF
38;1;6;0.547493987545974;0.494671112703179;0.520849735817314;beF
41;1;9;0.56379094784031;0.820766714185883;0.820766714185883;beF
48;1;2;0.867380017697142;0.206354870624065;0.149931069614182;beF
51;1;5;0.699754151088915;0.206354870624065;0.17134994092156;beF
54;1;8;0.805451569328012;0.48920304189483;0.566215944656661;beF
56;1;2;0.81802350445288;0.0572258100310709;0.145676280267881;beF
60;1;6;0.709532329513554;0.0;0.765873249495308;beF
63;1;9;0.864586246009994;0.0572258100310709;0.399902592138574;beF
66;1;2;0.204326605349898;0.41265011057725;0.308488357963574;beF
69;1;5;0.767270127845423;0.0;0.0;beF
72;1;8;0.204326605349898;0.41265011057725;0.308488357963574;beF
74;1;10;0.837579861302159;0.459874324831562;0.71167801581196;beF
77;1;2;0.852479932006191;0.346039128365734;0.479127662363898;beF
84;1;3;0.820351647525503;0.0;0.0;beF
88;1;7;0.489756192960836;0.0;0.489756192960836;beF
91;1;10;0.822679790598127;0.323669754876951;0.54384024495708;beF
101;1;4;0.850151788933567;0.624910513594148;0.690735595399481;beF
105;1;8;0.841770503845962;0.186471004411567;0.62333733736783;beF
108;1;2;0.131688725073808;0.702457633422408;0.474345348965452;beF
111;1;5;0.23598926496279;0.168575499220615;0.324742384556248;beF
116;1;11;0.559134676681982;0.0;0.786360848586717;beF
125;1;3;0.785429580117478;0.692018606060819;0.782135065805756;beF
127;1;5;0.777048298776602;0.216296835729944;0.480375606958937;beF
130;1;8;0.902767687492583;0.216296835729944;0.67394407023837;beF
132;1;10;0.777048298776602;0.216296835729944;0.480375606958937;beF
142;1;5;0.78077330521242;0.787461221080148;0.787461221080148;beF
152;1;6;0.386386902807443;0.297820725600741;0.356864843738542;beF
156;1;10;0.532593905601752;0.502624670788044;0.434544225343025;beF
160;1;14;0.829198561227634;0.34554203011044;0.613911051762347;beF
164;1;2;0.8082453335217;0.298814906111514;0.638435191051638;beF
169;1;7;0.8082453335217;0.298814906111514;0.638435191051638;beF
178;1;2;0.925583429656615;0.0771096762435687;0.6427588451856;beF
180;1;4;0.69928851498093;0.0771096762435687;0.0771096762435687;beF
183;1;7;0.72629491280232;0.202378116581343;0.598204393858488;beF
190;1;8;0.929774087187338;0.0;0.929774087187338;beF
195;1;4;0.891592630717829;0.975860953842404;0.894148457460493;beF
197;1;6;0.970749300357076;0.614968572487991;0.670864554142371;beF
201;1;4;0.0;0.0;0.156366981695939;beF
203;1;7;0.746316877659109;0.308756855217578;0.394966647830799;beF
209;1;13;0.0;0.0;0.156366981695939;beF
213;1;5;0.650397637844652;0.284399104707434;0.475621884940506;beF
236;1;10;0.0;0.552831458574305;0.586714473758717;beF
240;1;14;0.642016352757047;0.511572409383682;0.750939025801558;beF
244;1;3;0.529800145154794;0.650759554870219;0.5717926777879;beF
248;1;7;0.685785322627013;0.139743896412456;0.431855330261029;beF
