;participant;rank;NrmzMeanConfPair;NrmzMeanConfEvent;NrmzMeanConfDetail;Refi
3;1;5;0.874830045555698;0.0;0.874830045555698;beR
4;1;6;0.874830045555698;0.0;0.874830045555698;beR
18;1;20;0.78077332019934;0.238169094963617;0.599905245120766;beR
22;1;4;0.54609710544913;0.0;0.466009193567754;beR
23;1;5;0.54609710544913;0.726318293677165;0.596163743622459;beR
25;1;7;0.54609710544913;0.0;0.466009193567754;beR
35;1;3;0.748179392117208;0.494671112703179;0.432846158096033;beR
49;1;3;0.867380017697142;0.635846643210984;0.364676955907642;beR
57;1;3;0.81802350445288;0.0;0.234126750504692;beR
61;1;7;0.709532329513554;0.0;0.765873249495308;beR
64;1;10;0.864586246009994;0.0;0.571240983192326;beR
70;1;6;0.767270127845423;0.41265011057725;0.41265011057725;beR
75;1;11;0.837579861302159;0.219279393262077;0.631479705288798;beR
85;1;4;0.820351647525503;0.303785888664453;0.303785888664453;beR
86;1;5;0.820351647525503;0.0;0.0;beR
144;1;7;0.78077330521242;0.818778333164568;0.818778333164568;beR
153;1;7;0.386386902807443;0.763103468570027;0.574745185688735;beR
162;1;16;0.829198561227634;0.818778321164707;0.850529197289481;beR
165;1;3;0.8082453335217;0.221267794283161;0.51475656390243;beR
204;1;8;0.472062358063115;0.308756855217578;0.308756855217578;beR
205;1;9;0.746316877659109;0.308756855217578;0.394966647830799;beR
206;1;10;0.472062358063115;0.308756855217578;0.308756855217578;beR
207;1;11;0.746316877659109;0.308756855217578;0.394966647830799;beR
216;1;8;0.443193443910261;0.284399104707434;0.221699749902105;beR
250;1;9;0.891592645704749;0.139743896412456;0.410025202613179;beR
257;1;5;0.268583187424828;0.0;0.0003818154639102;beR
267;1;5;0.794276505059798;0.742225397847034;0.776926135988877;beR
274;1;12;0.0;0.512069513638907;0.641997952574598;beR
276;1;14;0.803589047376453;0.512069513638907;0.594497825389925;beR
277;1;15;0.0;0.512069513638907;0.641997952574598;beR
282;1;3;0.54609710544913;0.0;0.816160989994781;beR
284;1;5;0.736073078113405;0.0;0.736073078113405;beR
288;1;9;0.736073078113405;0.0;0.736073078113405;beR
298;1;3;0.63642881312948;0.912232537162929;0.728363387807296;beR
331;1;7;0.528403265633826;0.805853806526602;0.805853806526602;beR
332;1;8;0.281620749290855;0.805853806526602;0.634534617950334;beR
337;1;4;0.490687442696425;0.482243690320438;0.592307780573153;beR
356;1;12;0.870639403011896;0.574206623552639;0.771828476525477;beR
367;1;4;0.116788639382856;0.913226733673517;0.38226800414641;beR
370;1;7;0.48277178060325;0.236180701942442;0.289445011674586;beR
371;1;8;0.175457694943774;0.236180701942442;0.444033308923326;beR
382;1;7;0.929774087187338;0.0;0.888798874017601;beR
383;1;8;0.929774087187338;0.0;0.888798874017601;beR
403;1;12;0.342152311816412;0.99673904856512;0.560347890732648;beR
409;1;3;0.792879626709684;0.780998949761257;0.780998949761257;beR
429;1;5;0.824076661454781;0.515549184426161;0.695655243605454;beR
442;1;5;0.824542290069306;0.0;0.0;beR
