;participant;rank;NrmzMeanConfPair;NrmzMeanConfEvent;NrmzMeanConfDetail;Refi
7;1;9;0.874830045555698;0.0;0.874830045555698;bpR
8;1;10;0.78077332019934;0.238169094963617;0.599905245120766;bpR
16;1;18;0.78077332019934;0.238169094963617;0.599905245120766;bpR
42;1;10;0.748179392117208;0.702954735677656;0.592310224948066;bpR
43;1;11;0.56379094784031;0.702954735677656;0.702954735677656;bpR
45;1;13;0.748179392117208;0.702954735677656;0.592310224948066;bpR
71;1;7;0.204326605349898;0.33957685904682;0.271951732198359;bpR
73;1;9;0.837579861302159;0.219279393262077;0.631479705288798;bpR
93;1;12;0.820351647525503;0.303785888664453;0.303785888664453;bpR
96;1;15;0.822679790598127;0.323669754876951;0.54384024495708;bpR
103;1;6;0.841770503845962;0.281913613430965;0.655151540374296;bpR
119;1;14;0.131688725073808;0.702457633422408;0.474345348965452;bpR
120;1;15;0.23598926496279;0.0;0.480909269891881;bpR
121;1;16;0.131688725073808;0.168575499220615;0.207404281864555;bpR
131;1;9;0.777048298776602;0.786467022569583;0.772462807775699;bpR
133;1;11;0.902767687492583;0.7138908732944;0.808329280393492;bpR
135;1;13;0.777048298776602;0.216296835729944;0.480375606958937;bpR
136;1;14;0.902767687492583;0.216296835729944;0.67394407023837;bpR
145;1;8;0.779376434355766;0.816789928143531;0.771775231970141;bpR
146;1;9;0.808710947149305;0.816789928143531;0.816789928143531;bpR
154;1;8;0.532593905601752;0.34554203011044;0.321962682281713;bpR
168;1;6;0.8082453335217;0.221267794283161;0.51475656390243;bpR
171;1;9;0.8082453335217;0.298814906111514;0.638435191051638;bpR
173;1;11;0.208051608038986;0.298814906111514;0.291697986979719;bpR
175;1;13;0.30071147752561;0.142726477944312;0.295498031825311;bpR
188;1;6;0.484168657079999;0.0;0.851548674777141;bpR
200;1;3;0.757957563048388;0.0;0.746316877659109;bpR
208;1;12;0.757957563048388;0.0;0.746316877659109;bpR
220;1;12;0.650397637844652;0.284399104707434;0.475621884940506;bpR
221;1;13;0.464146686603115;0.447943998704138;0.458745790636789;bpR
225;1;17;0.650397637844652;0.478764010533287;0.605198488824408;bpR
233;1;7;0.380333760792461;0.511572409383682;0.635929057752347;bpR
237;1;11;0.380333760792461;0.511572409383682;0.635929057752347;bpR
252;1;11;0.529800145154794;0.650759554870219;0.5717926777879;bpR
258;1;6;0.420843330360754;0.0;0.0;bpR
261;1;9;0.420843330360754;0.0;0.0;bpR
270;1;8;0.0;0.512069513638907;0.641997952574598;bpR
291;1;12;0.736073078113405;0.0;0.736073078113405;bpR
292;1;13;0.54609710544913;0.0;0.816160989994781;bpR
294;1;15;0.736073078113405;0.0;0.736073078113405;bpR
304;1;9;0.0;0.912232537162929;0.859359895825584;bpR
310;1;5;0.738401213692569;0.379344615471538;0.61451538789529;bpR
