;participant;rank;NrmzMeanConfPair;NrmzMeanConfEvent;NrmzMeanConfDetail;Refi
1;1;3;0.874830045555698;0.0;0.874830045555698;weR
6;1;8;0.78077332019934;0.238169094963617;0.599905245120766;weR
9;1;11;0.78077332019934;0.238169094963617;0.599905245120766;weR
10;1;12;0.78077332019934;0.238169094963617;0.599905245120766;weR
11;1;13;0.78077332019934;0.238169094963617;0.599905245120766;weR
15;1;17;0.81802350445288;0.380835915487359;0.544879787357439;weR
20;1;2;0.54609710544913;0.0;0.466009193567754;weR
24;1;6;0.54609710544913;0.726318293677165;0.596163743622459;weR
26;1;8;0.54609710544913;0.0;0.466009193567754;weR
27;1;9;0.54609710544913;0.0;0.466009193567754;weR
29;1;11;0.744919999308995;0.727312482187846;0.727312482187846;weR
31;1;13;0.744919999308995;0.436013672576713;0.436013672576713;weR
37;1;5;0.547493987545974;0.820766714185883;0.683897536558666;weR
40;1;8;0.56379094784031;0.702954735677656;0.702954735677656;weR
44;1;12;0.56379094784031;0.702954735677656;0.702954735677656;weR
46;1;14;0.748179392117208;0.702954735677656;0.592310224948066;weR
53;1;7;0.805451569328012;0.478764010533287;0.599502880356806;weR
59;1;5;0.709532329513554;0.0;0.765873249495308;weR
79;1;4;0.322595962460593;0.37835041896095;0.25408831478833;weR
81;1;6;0.0;0.346039128365734;0.365514576411531;weR
82;1;7;0.0;0.346039128365734;0.365514576411531;weR
89;1;8;0.489756192960836;0.0;0.489756192960836;weR
92;1;11;0.822679790598127;0.323669754876951;0.54384024495708;weR
94;1;13;0.820351647525503;0.303785888664453;0.303785888664453;weR
95;1;14;0.820351647525503;0.303785888664453;0.303785888664453;weR
97;1;16;0.822679790598127;0.323669754876951;0.54384024495708;weR
100;1;3;0.850151788933567;0.281913613430965;0.519237145317889;weR
102;1;5;0.850151788933567;0.624910513594148;0.690735595399481;weR
104;1;7;0.841770503845962;0.281913613430965;0.655151540374296;weR
110;1;4;0.23598926496279;0.0;0.480909269891881;weR
112;1;6;0.23598926496279;0.168575499220615;0.324742384556248;weR
113;1;7;0.23598926496279;0.168575499220615;0.324742384556248;weR
115;1;10;0.559134676681982;0.702457633422408;0.744409241004563;weR
117;1;12;0.559134676681982;0.0;0.786360848586717;weR
118;1;13;0.559134676681982;0.0;0.786360848586717;weR
122;1;17;0.131688725073808;0.168575499220615;0.207404281864555;weR
124;1;2;0.785429580117478;0.808339289803164;0.859682188300653;weR
129;1;7;0.902767687492583;0.7138908732944;0.808329280393492;weR
134;1;12;0.902767687492583;0.7138908732944;0.808329280393492;weR
137;1;15;0.902767687492583;0.216296835729944;0.67394407023837;weR
141;1;4;0.78077330521242;0.818778333164568;0.818778333164568;weR
143;1;6;0.78077330521242;0.787461221080148;0.787461221080148;weR
147;1;10;0.808710947149305;0.816789928143531;0.816789928143531;weR
149;1;2;0.532593905601752;0.34554203011044;0.321962682281713;weR
150;1;3;0.532593905601752;0.34554203011044;0.321962682281713;weR
155;1;9;0.532593905601752;0.34554203011044;0.321962682281713;weR
157;1;11;0.532593905601752;0.502624670788044;0.434544225343025;weR
158;1;12;0.532593905601752;0.502624670788044;0.434544225343025;weR
161;1;15;0.829198561227634;0.34554203011044;0.613911051762347;weR
166;1;4;0.8082453335217;0.221267794283161;0.51475656390243;weR
172;1;10;0.8082453335217;0.298814906111514;0.638435191051638;weR
174;1;12;0.208051608038986;0.298814906111514;0.291697986979719;weR
176;1;14;0.30071147752561;0.142726477944312;0.295498031825311;weR
181;1;5;0.69928851498093;0.0771096762435687;0.0771096762435687;weR
186;1;3;0.484168657079999;0.0;0.851548674777141;weR
187;1;4;0.484168657079999;0.0;0.851548674777141;weR
189;1;7;0.484168657079999;0.0;0.851548674777141;weR
193;1;2;0.560065933911032;0.0;0.845961161376684;weR
211;1;2;0.650397637844652;0.478764010533287;0.605198488824408;weR
214;1;6;0.650397637844652;0.284399104707434;0.475621884940506;weR
215;1;7;0.650397637844652;0.284399104707434;0.475621884940506;weR
218;1;10;0.464146686603115;0.447943998704138;0.458745790636789;weR
219;1;11;0.464146686603115;0.447943998704138;0.458745790636789;weR
222;1;14;0.464146686603115;0.447943998704138;0.458745790636789;weR
223;1;15;0.464146686603115;0.447943998704138;0.458745790636789;weR
224;1;16;0.464146686603115;0.447943998704138;0.458745790636789;weR
226;1;18;0.650397637844652;0.478764010533287;0.605198488824408;weR
227;1;19;0.650397637844652;0.478764010533287;0.605198488824408;weR
229;1;2;0.527006384707835;0.401216882705119;0.520906490510417;weR
231;1;4;0.380333760792461;0.511572409383682;0.635929057752347;weR
232;1;5;0.380333760792461;0.511572409383682;0.635929057752347;weR
235;1;9;0.495343728841672;0.552831458574305;0.698656186456015;weR
238;1;12;0.380333760792461;0.511572409383682;0.635929057752347;weR
239;1;13;0.380333760792461;0.511572409383682;0.635929057752347;weR
241;1;15;0.642016352757047;0.511572409383682;0.750939025801558;weR
243;1;2;0.788688984165881;0.650759554870219;0.731037251815063;weR
246;1;5;0.891592645704749;0.139743896412456;0.410025202613179;weR
247;1;6;0.891592645704749;0.139743896412456;0.410025202613179;weR
249;1;8;0.685785322627013;0.139743896412456;0.431855330261029;weR
259;1;7;0.420843330360754;0.0;0.0;weR
262;1;10;0.420843330360754;0.0;0.0;weR
265;1;3;0.794276505059798;0.742225397847034;0.776926135988877;weR
269;1;7;0.832923575156912;0.0;0.81802350445288;weR
271;1;9;0.0;0.512069513638907;0.641997952574598;weR
272;1;10;0.0;0.512069513638907;0.641997952574598;weR
275;1;13;0.0;0.512069513638907;0.641997952574598;weR
278;1;16;0.0;0.512069513638907;0.641997952574598;weR
279;1;17;0.0;0.512069513638907;0.641997952574598;weR
283;1;4;0.54609710544913;0.0;0.816160989994781;weR
285;1;6;0.736073078113405;0.0;0.736073078113405;weR
290;1;11;0.634100688790506;0.968901610267919;0.980534883472726;weR
295;1;16;0.736073078113405;0.0;0.736073078113405;weR
299;1;4;0.63642881312948;0.912232537162929;0.728363387807296;weR
303;1;8;0.831992332914782;0.913226733673517;0.83547867664612;weR
309;1;4;0.199670322951381;0.539409837680999;0.36954008031619;weR
