ppNum,NrmzMeanConfPair,NrmzMeanConfEvent,NrmzMeanConfDetail,N_eNrmzMeanConfPair,N_eNrmzMeanConfEvent,N_eNrmzMeanConfDetail,iEvent,iBlock
1,0.816357052,0.195475266,0.705314856,0.378403393,0.386581407,0.336418039,1,1
1,0.626018721,0.352972919,0.545453002,0.355332959,0.374263797,0.407689323,2,1
1,0.639322361,0.683567955,0.625440263,0.364497351,0.408345301,0.407474431,3,1
1,0.802250383,0.442724477,0.391884931,0.412013112,0.413810043,0.377964852,4,1
1,0.788595857,0.011445162,0.521980734,0.423601218,0.5,0.410710687,5,1
1,0.588130568,0.31340606,0.417481594,0.400241435,0.392851354,0.413229458,6,1
1,0.33573597,0.409454494,0.390538122,0.333599069,0.380524468,0.4258288,7,1
1,0.755008604,0.208489086,0.389303703,0.395534765,0.39588415,0.405755618,8,1
1,0.810573465,0.375036445,0.615208306,0.368783473,0.412589539,0.380593374,9,1
1,0.304378287,0.238830221,0.489734971,0.393369509,0.381186892,0.434318546,10,1
1,0.837393603,0.535665049,0.716180081,0.363631417,0.428709288,0.349470425,11,1
1,0.788875224,0.811520708,0.802517769,0.391871229,0.396926442,0.390833023,12,1
1,0.58244708,0.492550169,0.48991212,0.443500177,0.426161267,0.377734918,13,1
1,0.570875137,0.223824288,0.454553492,0.397527611,0.377756253,0.407982269,14,1
1,0.771660319,0.288162841,0.469906453,0.340932976,0.400986473,0.366115773,15,1
1,0.595511811,0.088242164,0.852903608,0.384725186,0.5,0.394208903,16,2
1,0.741660615,0.530276509,0.809569225,0.388940492,0.342452169,0.399659869,17,2
1,0.558217387,0.154378428,0.403813572,0.348024923,0.375883604,0.384838248,18,2
1,0.554944024,0.401990148,0.47683889,0.384833905,0.357419783,0.378766424,19,2
1,0.427933518,0.504648559,0.641372949,0.360531959,0.38511536,0.359102002,20,2
1,0.736792694,0.352004291,0.503132246,0.408858147,0.320148309,0.438027765,21,2
1,0.377493425,0.031571621,0.020613896,0.397508056,0.5,0.5,22,2
1,0.379967283,0.505980367,0.685195798,0.412642153,0.38589968,0.390156134,23,2
1,0.684854067,0.121112701,0.795674313,0.407486131,0.369562336,0.346039331,24,2
1,0.590720975,0.857601585,0.773135021,0.401636784,0.435097068,0.364908916,25,2
1,0.474022883,0.537107495,0.499030584,0.43124841,0.352322275,0.36865715,26,2
1,0.433777434,0.547694789,0.500228407,0.392605816,0.391951149,0.404944263,27,2
1,0.674652596,0.578318971,0.670819007,0.392151221,0.386730343,0.367090091,28,2
1,0.629542436,0.416552591,0.709466781,0.347993306,0.437228165,0.380013028,29,2
1,0.290093613,0.482243687,0.420292694,0.42473108,0.437534433,0.423960823,30,2
1,0.891489161,0.096719601,0.880175704,0.406469674,0.5,0.347876367,31,3
1,0.50934049,0.385641177,0.51014205,0.329837632,0.388903628,0.369423827,32,3
1,0.118651154,0.287381684,0.340088212,0.5,0.409459507,0.342169501,33,3
1,0.405725976,0.746434155,0.585905604,0.43476078,0.327645928,0.418081383,34,3
1,0.859231525,0.545027031,0.703755583,0.395020815,0.274414544,0.41140843,35,3
1,0.652900391,0.57315029,0.654722269,0.41887487,0.403478763,0.39485633,36,3
1,0.836959018,0.382769066,0.656358492,0.3903137,0.409591628,0.437560883,37,3
1,0.670047113,0.649566529,0.648054112,0.385108702,0.407608073,0.344904854,38,3
