type;latency;rank;duration;sac_amplitude;sac_angle;iEvent;CorScorePair;CorScoreEvent;CorScoreDetail;NrmzMeanConfPair;NrmzMeanConfEvent;NrmzMeanConfDetail;SumCorConfPair;SumCorConfEvent;SumCorConfDetail;PairNCat;eCorScorePair;eCorScoreEvent;eCorScoreDetail;eNrmzMeanConfPair;eNrmzMeanConfEvent;eNrmzMeanConfDetail;eSumCorConfPair;eSumCorConfEvent;eSumCorConfDetail;iBlock;iEventPerBlock;Refi;Refi2;NrmzMeanConfPair2bins;NrmzMeanConfEvent2bins;NrmzMeanConfDetail2bins;eNrmzMeanConfPair2bins;eNrmzMeanConfEvent2bins;eNrmzMeanConfDetail2bins;NrmzMeanConfPair_CorRefi;NrmzMeanConfEvent_CorRefi;NrmzMeanConfDetail_CorRefi;eNrmzMeanConfPair_CorRefi;eNrmzMeanConfEvent_CorRefi;eNrmzMeanConfDetail_CorRefi;eNrmzMeanConfPair_EventOnset2bins;eNrmzMeanConfEvent_EventOnset2bins;eNrmzMeanConfDetail_EventOnset2bins;eCorScorePair_EventOnset2bins;eCorScoreEvent_EventOnset2bins;eCorScoreDetail_EventOnset2bins;eSumCorConfPair_EventOnset2bins;eSumCorConfEvent_EventOnset2bins;eSumCorConfDetail_EventOnset2bins
EventOnset;29.438.375;0;0;0;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;[];[];[];[];[];[];[];[];[];[];[];[];[];[];Cor1;Cor2;Cor1;Cor1;Cor1;Cor1;Cor1;Cor1;Cor1
saccade;29474;0;9;2.731.132;167.050.534;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
fixation;29483;1;28;2.731.132;167.050.534;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;outside;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;bpF;bp;other;other;other;other;other;other;other;other;other;other;other;other;[];[];[];[];[];[];[];[];[]
saccade;29511;0;17;6.229.606;9.996.986;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
fixation;29528;2;47;6.229.606;9.996.986;1;2;2;1;0.102262591046367;0.333172857663272;0.333172857663272;210.226.259.104.637;233.317.285.766.327;221.771.772.435.482;p1F;27;21;23;415.759.792.833.983;721.924.503.083.085;639.605.372.539.433;301.374.417.680.548;277.233.988.956.805;439.304.203.318.677;1;1;bpF;bp;Cor1;Cor2;Cor1;Cor1;Cor2;Cor1;Cor1bpF;Cor2bpF;Cor1bpF;Cor1bpF;Cor2bpF;Cor1bpF;[];[];[];[];[];[];[];[];[]
saccade;29575;0;9;0.644057;-175.012.888;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
fixation;29584;3;79;0.644057;-175.012.888;1;2;2;1;0.102262591046367;0.333172857663272;0.333172857663272;210.226.259.104.637;233.317.285.766.327;221.771.772.435.482;p1F;27;21;23;415.759.792.833.983;721.924.503.083.085;639.605.372.539.433;301.374.417.680.548;277.233.988.956.805;439.304.203.318.677;1;1;weR;we;Cor1;Cor2;Cor1;Cor1;Cor2;Cor1;Cor1weR;Cor2weR;Cor1weR;Cor1weR;Cor2weR;Cor1weR;[];[];[];[];[];[];[];[];[]
saccade;29663;0;5;0.164071;135.302.204;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
fixation;29668;4;27;0.164071;135.302.204;1;2;2;1;0.102262591046367;0.333172857663272;0.333172857663272;210.226.259.104.637;233.317.285.766.327;221.771.772.435.482;p1F;27;21;23;415.759.792.833.983;721.924.503.083.085;639.605.372.539.433;301.374.417.680.548;277.233.988.956.805;439.304.203.318.677;1;1;weR;we;Cor1;Cor2;Cor1;Cor1;Cor2;Cor1;Cor1weR;Cor2weR;Cor1weR;Cor1weR;Cor2weR;Cor1weR;[];[];[];[];[];[];[];[];[]
saccade;29695;0;12;2.307.634;-6.561.836;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
fixation;29707;5;45;2.307.634;-6.561.836;1;2;1;1;0.102262591046367;0.733425941706552;0.733425941706552;210.226.259.104.637;167.359.429.566.474;138.792.844.335.555;p1P;27;21;23;415.759.792.833.983;721.924.503.083.085;639.605.372.539.433;301.374.417.680.548;277.233.988.956.805;439.304.203.318.677;1;1;beF;be;Cor1;Cor2;Cor2;Cor1;Cor2;Cor1;Cor1beF;Cor2beF;Cor2beF;Cor1beF;Cor2beF;Cor1beF;[];[];[];[];[];[];[];[];[]
saccade;29752;0;21;0.309054;-113.768.692;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
fixation;29773;6;15;0.309054;-113.768.692;1;2;1;1;0.102262591046367;0.733425941706552;0.733425941706552;210.226.259.104.637;167.359.429.566.474;138.792.844.335.555;p1P;27;21;23;415.759.792.833.983;721.924.503.083.085;639.605.372.539.433;301.374.417.680.548;277.233.988.956.805;439.304.203.318.677;1;1;weR;we;Cor1;Cor2;Cor2;Cor1;Cor2;Cor1;Cor1weR;Cor2weR;Cor2weR;Cor1weR;Cor2weR;Cor1weR;[];[];[];[];[];[];[];[];[]
saccade;29788;0;6;0.294266;127.311.906;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
fixation;29794;7;142;0.294266;127.311.906;1;2;1;1;0.102262591046367;0.733425941706552;0.733425941706552;210.226.259.104.637;167.359.429.566.474;138.792.844.335.555;p1P;27;21;23;415.759.792.833.983;721.924.503.083.085;639.605.372.539.433;301.374.417.680.548;277.233.988.956.805;439.304.203.318.677;1;1;weR;we;Cor1;Cor2;Cor2;Cor1;Cor2;Cor1;Cor1weR;Cor2weR;Cor2weR;Cor1weR;Cor2weR;Cor1weR;[];[];[];[];[];[];[];[];[]
saccade;29936;0;7;2.159.473;-179.281.159;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
fixation;29943;8;92;2.159.473;-179.281.159;1;2;2;1;0.102262591046367;0.333172857663272;0.333172857663272;210.226.259.104.637;233.317.285.766.327;221.771.772.435.482;p1F;27;21;23;415.759.792.833.983;721.924.503.083.085;639.605.372.539.433;301.374.417.680.548;277.233.988.956.805;439.304.203.318.677;1;1;beR;be;Cor1;Cor2;Cor1;Cor1;Cor2;Cor1;Cor1beR;Cor2beR;Cor1beR;Cor1beR;Cor2beR;Cor1beR;[];[];[];[];[];[];[];[];[]
saccade;30035;0;21;9.271.397;-102.024.505;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
fixation;30056;9;77;9.271.397;-102.024.505;1;2;1;3;0.23864135639929;0.733425941706552;0.403569551501711;223.864.135.639.929;167.359.429.566.474;345.611.782.603.201;p3O;27;21;23;415.759.792.833.983;721.924.503.083.085;639.605.372.539.433;301.374.417.680.548;277.233.988.956.805;439.304.203.318.677;1;1;bpF;bp;Cor1;Cor2;Cor1;Cor1;Cor2;Cor1;Cor1bpF;Cor2bpF;Cor1bpF;Cor1bpF;Cor2bpF;Cor1bpF;[];[];[];[];[];[];[];[];[]
saccade;30133;0;4;0.614524;-0.978564;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
fixation;30137;10;137;0.614524;-0.978564;1;2;1;3;0.23864135639929;0.733425941706552;0.403569551501711;223.864.135.639.929;167.359.429.566.474;345.611.782.603.201;p3O;27;21;23;415.759.792.833.983;721.924.503.083.085;639.605.372.539.433;301.374.417.680.548;277.233.988.956.805;439.304.203.318.677;1;1;weR;we;Cor1;Cor2;Cor1;Cor1;Cor2;Cor1;Cor1weR;Cor2weR;Cor1weR;Cor1weR;Cor2weR;Cor1weR;[];[];[];[];[];[];[];[];[]
saccade;30274;0;7;2.501.837;177.927.924;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
fixation;30281;11;201;2.501.837;177.927.924;1;2;1;2;0.23864135639929;0.407446621728669;0.29490977817575;223.864.135.639.929;132.148.161.886.796;328.006.148.763.362;p3F;27;21;23;415.759.792.833.983;721.924.503.083.085;639.605.372.539.433;301.374.417.680.548;277.233.988.956.805;439.304.203.318.677;1;1;beF;be;Cor1;Cor2;Cor1;Cor1;Cor2;Cor1;Cor1beF;Cor2beF;Cor1beF;Cor1beF;Cor2beF;Cor1beF;[];[];[];[];[];[];[];[];[]
saccade;30482;0;11;2.373.008;3.329.615;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
bad_ET;30599;0;28;0;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
saccade;30711;0;9;1.453.877;-17.347.724;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
fixation;30720;12;221;1.453.877;-17.347.724;1;1;1;1;0.497438873083619;0.247895565617159;0.27823694922346;129.340.764.102.661;12.417.060.908.122;326.755.686.591.941;p2P;27;21;23;415.759.792.833.983;721.924.503.083.085;639.605.372.539.433;301.374.417.680.548;277.233.988.956.805;439.304.203.318.677;1;1;bpF;bp;Cor1;Cor1;Cor1;Cor1;Cor2;Cor1;Cor1bpF;Cor1bpF;Cor1bpF;Cor1bpF;Cor2bpF;Cor1bpF;[];[];[];[];[];[];[];[];[]
saccade;30941;0;7;2.099.178;2.648.483;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
fixation;30948;13;234;2.099.178;2.648.483;1;1;2;2;0.497438873083619;0.412948385719028;0.35317801337282;129.340.764.102.661;241.294.838.571.903;435.317.801.337.282;p2O;27;21;23;415.759.792.833.983;721.924.503.083.085;639.605.372.539.433;301.374.417.680.548;277.233.988.956.805;439.304.203.318.677;1;1;beF;be;Cor1;Cor2;Cor1;Cor1;Cor2;Cor1;Cor1beF;Cor2beF;Cor1beF;Cor1beF;Cor2beF;Cor1beF;[];[];[];[];[];[];[];[];[]
saccade;31182;0;10;121.556;-176.736.786;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
fixation;31192;14;58;121.556;-176.736.786;1;1;1;1;0.497438873083619;0.247895565617159;0.27823694922346;129.340.764.102.661;12.417.060.908.122;326.755.686.591.941;p2P;27;21;23;415.759.792.833.983;721.924.503.083.085;639.605.372.539.433;301.374.417.680.548;277.233.988.956.805;439.304.203.318.677;1;1;beR;be;Cor1;Cor1;Cor1;Cor1;Cor2;Cor1;Cor1beR;Cor1beR;Cor1beR;Cor1beR;Cor2beR;Cor1beR;[];[];[];[];[];[];[];[];[]
saccade;31250;0;5;0.690157;-174.513.428;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
fixation;31255;15;156;0.690157;-174.513.428;1;1;1;1;0.497438873083619;0.247895565617159;0.27823694922346;129.340.764.102.661;12.417.060.908.122;326.755.686.591.941;p2P;27;21;23;415.759.792.833.983;721.924.503.083.085;639.605.372.539.433;301.374.417.680.548;277.233.988.956.805;439.304.203.318.677;1;1;weR;we;Cor1;Cor1;Cor1;Cor1;Cor2;Cor1;Cor1weR;Cor1weR;Cor1weR;Cor1weR;Cor2weR;Cor1weR;[];[];[];[];[];[];[];[];[]
saccade;31411;0;6;0.359413;111.699.551;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
fixation;31417;16;47;0.359413;111.699.551;1;1;1;1;0.497438873083619;0.247895565617159;0.27823694922346;129.340.764.102.661;12.417.060.908.122;326.755.686.591.941;p2P;27;21;23;415.759.792.833.983;721.924.503.083.085;639.605.372.539.433;301.374.417.680.548;277.233.988.956.805;439.304.203.318.677;1;1;weR;we;Cor1;Cor1;Cor1;Cor1;Cor2;Cor1;Cor1weR;Cor1weR;Cor1weR;Cor1weR;Cor2weR;Cor1weR;[];[];[];[];[];[];[];[];[]
saccade;31464;0;15;9.443.609;-35.891.381;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
fixation;31479;17;51;9.443.609;-35.891.381;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;outside;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;bpR;bp;other;other;other;other;other;other;other;other;other;other;other;other;[];[];[];[];[];[];[];[];[]
saccade;31530;0;10;1.873.735;-9.701.645;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
fixation;31540;18;91;1.873.735;-9.701.645;1;2;1;2;0.23864135639929;0.407446621728669;0.29490977817575;223.864.135.639.929;132.148.161.886.796;328.006.148.763.362;p3F;27;21;23;415.759.792.833.983;721.924.503.083.085;639.605.372.539.433;301.374.417.680.548;277.233.988.956.805;439.304.203.318.677;1;1;bpR;bp;Cor1;Cor2;Cor1;Cor1;Cor2;Cor1;Cor1bpR;Cor2bpR;Cor1bpR;Cor1bpR;Cor2bpR;Cor1bpR;[];[];[];[];[];[];[];[];[]
saccade;31631;0;9;2.153.907;2.990.657;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
bad_ET;31772;0;25;0;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
saccade;31806;0;9;0.635806;8.519.689;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
bad_ET;31943;0;33;0;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
EventOnset;36184;0;0;0;0;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;2;[];[];[];[];[];[];[];[];[];[];[];[];[];[];Cor1;Cor1;Cor1;Cor1;Cor2;Cor1;Cor1;Cor2;Cor1
saccade;36247;0;9;2.107.892;20.175.068;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;2;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
fixation;36256;1;32;2.107.892;20.175.068;2;2;2;1;0.792747235385089;0.222449933447429;0.222449933447429;279.274.723.538.509;222.244.993.344.743;250.759.858.441.626;p2O;24;30;15;684.552.691.438.898;50.863.087.332.035;462.548.250.068.495;311.152.669.183.778;350.863.087.332.035;421.007.878.257.907;1;2;bpF;bp;Cor2;Cor1;Cor1;Cor1;Cor1;Cor1;Cor2bpF;Cor1bpF;Cor1bpF;Cor1bpF;Cor1bpF;Cor1bpF;[];[];[];[];[];[];[];[];[]
saccade;36288;0;9;0.759466;17.702.291;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;2;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
fixation;36297;2;164;0.759466;17.702.291;2;2;2;1;0.792747235385089;0.222449933447429;0.222449933447429;279.274.723.538.509;222.244.993.344.743;250.759.858.441.626;p2O;24;30;15;684.552.691.438.898;50.863.087.332.035;462.548.250.068.495;311.152.669.183.778;350.863.087.332.035;421.007.878.257.907;1;2;weR;we;Cor2;Cor1;Cor1;Cor1;Cor1;Cor1;Cor2weR;Cor1weR;Cor1weR;Cor1weR;Cor1weR;Cor1weR;[];[];[];[];[];[];[];[];[]
saccade;36461;0;4;0.286582;-6.570.267;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;2;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
bad_ET;36497;0;36;0;0;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;2;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
saccade;36575;0;17;0.172546;24.805.688;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;2;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
fixation;36592;3;68;0.172546;24.805.688;2;2;2;1;0.792747235385089;0.320106175103455;0.320106175103455;279.274.723.538.509;232.010.617.510.345;255.642.670.524.427;p2P;24;30;15;684.552.691.438.898;50.863.087.332.035;462.548.250.068.495;311.152.669.183.778;350.863.087.332.035;421.007.878.257.907;1;2;beF;be;Cor2;Cor2;Cor1;Cor1;Cor1;Cor1;Cor2beF;Cor2beF;Cor1beF;Cor1beF;Cor1beF;Cor1beF;[];[];[];[];[];[];[];[];[]
saccade;36660;0;4;0.411552;64.614.504;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;2;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
fixation;36664;4;99;0.411552;64.614.504;2;2;2;1;0.792747235385089;0.320106175103455;0.320106175103455;279.274.723.538.509;232.010.617.510.345;255.642.670.524.427;p2P;24;30;15;684.552.691.438.898;50.863.087.332.035;462.548.250.068.495;311.152.669.183.778;350.863.087.332.035;421.007.878.257.907;1;2;weR;we;Cor2;Cor2;Cor1;Cor1;Cor1;Cor1;Cor2weR;Cor2weR;Cor1weR;Cor1weR;Cor1weR;Cor1weR;[];[];[];[];[];[];[];[];[]
saccade;36763;0;6;0.481331;127.887.325;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;2;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
fixation;36769;5;96;0.481331;127.887.325;2;2;2;1;0.792747235385089;0.320106175103455;0.320106175103455;279.274.723.538.509;232.010.617.510.345;255.642.670.524.427;p2P;24;30;15;684.552.691.438.898;50.863.087.332.035;462.548.250.068.495;311.152.669.183.778;350.863.087.332.035;421.007.878.257.907;1;2;weR;we;Cor2;Cor2;Cor1;Cor1;Cor1;Cor1;Cor2weR;Cor2weR;Cor1weR;Cor1weR;Cor1weR;Cor1weR;[];[];[];[];[];[];[];[];[]
saccade;36865;0;6;1.429.173;-82.618.393;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;2;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
