#mag	emag	col	ecol
22.25	0.04	1.19	0.06
20.67	0.01	2.06	0.02
22.24	0.02	0.88	0.03
23.11	0.04	1.44	0.06
23.66	0.06	0.92	0.07
22.31	0.03	1.39	0.04
21.19	0.01	1.75	0.04
24.21	0.10	0.35	0.10
20.86	0.01	2.38	0.03
21.95	0.02	1.36	0.03
22.65	0.03	1.18	0.04
23.14	0.07	1.73	0.14
21.39	0.01	1.99	0.03
22.44	0.02	1.40	0.04
21.38	0.01	1.31	0.02
22.84	0.04	1.49	0.07
20.82	0.01	1.83	0.03
22.19	0.02	1.64	0.04
22.78	0.03	1.01	0.04
21.72	0.01	1.35	0.02
23.66	0.04	1.06	0.06
20.60	0.01	2.42	0.02
22.10	0.01	2.24	0.04
23.81	0.06	0.93	0.08
21.15	0.02	2.02	0.06
23.84	0.05	0.68	0.06
24.06	0.08	0.62	0.07
23.21	0.04	1.03	0.05
