#mag	emag	col	ecol
22.78	0.03	1.01	0.04
22.19	0.02	1.64	0.04
23.28	0.04	1.06	0.06
22.78	0.04	1.07	0.07
23.84	0.05	0.68	0.06
22.84	0.04	1.49	0.07
24.47	0.08	0.67	0.10
23.59	0.04	0.61	0.05
22.90	0.03	2.10	0.09
22.44	0.02	1.40	0.04
24.54	0.07	3.78	1.05
23.92	0.07	0.42	0.08
23.94	0.06	0.55	0.07
23.31	0.03	3.63	0.41
23.76	0.06	1.12	0.09
23.69	0.03	2.29	0.13
24.33	0.06	2.38	0.23
23.50	0.05	2.25	0.14
23.71	0.04	2.70	0.21
23.06	0.02	2.39	0.09
23.73	0.05	2.18	0.15
22.78	0.03	2.23	0.07
22.27	0.02	2.42	0.05
24.05	0.06	1.49	0.12
22.18	0.01	2.46	0.05
22.85	0.03	2.32	0.09
24.21	0.08	2.21	0.26
22.59	0.02	2.57	0.08
24.04	0.06	2.67	0.16
23.38	0.04	2.30	0.12
21.95	0.02	1.36	0.03
22.65	0.03	1.18	0.04
24.21	0.10	0.35	0.10
24.92	0.08	0.75	0.14
23.66	0.06	0.92	0.07
24.25	0.07	2.03	0.21
22.57	0.03	2.20	0.08
23.11	0.04	1.44	0.06
22.24	0.02	0.88	0.03
24.06	0.08	0.62	0.07
22.25	0.04	1.19	0.06
23.81	0.06	0.93	0.08
24.40	0.06	1.20	0.12
22.31	0.03	1.39	0.04
24.00	0.06	0.86	0.09
23.69	0.07	1.08	0.10
22.38	0.02	2.21	0.06
22.45	0.02	2.26	0.06
24.02	0.04	1.22	0.08
24.40	0.07	1.85	0.18
22.10	0.01	2.24	0.04
23.71	0.06	2.26	0.21
24.21	0.06	1.15	0.10
24.02	0.06	1.13	0.10
22.68	0.02	2.25	0.07
23.19	0.04	1.14	0.05
23.66	0.04	1.06	0.06
25.00	0.11	0.81	0.15
24.71	0.11	0.69	0.15
23.28	0.08	1.21	0.13
23.61	0.04	2.40	0.16
23.16	0.04	2.09	0.10
23.26	0.03	2.21	0.09
24.39	0.08	0.96	0.10
24.11	0.06	1.51	0.11
23.21	0.04	1.03	0.05
23.14	0.07	1.73	0.14
24.51	0.07	1.70	0.18
24.00	0.06	2.03	0.16
24.14	0.06	1.39	0.11
22.92	0.03	2.36	0.09
21.84	0.01	1.49	0.02
23.60	0.04	2.39	0.17
24.14	0.07	2.19	0.20
